hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
8991B5,B-18307,TW,22.5,118.27,11277,54,901,0.0,928,CAL928,CI928,VHHH,HKG,RCTP,TPE,CAL,CI,A333,1647955710,en-route
71C293,HL8293,KR,19.67,118.46,11887,225,844,-0.30000000000000004,735,AAR735,OZ735,RKSI,ICN,VVTS,SGN,AAR,OZ,A333,1647955710,en-route
780B9F,B-9951,CN,29.15,118.73,10393,239,644,-0.7000000000000001,6486,CSN6486,CZ6486,ZYTL,DLC,ZGGG,CAN,CSN,CZ,A320,1647955710,en-route
780D01,B-1715,CN,28.17,118.81,7802,268,638,0.0,1170,JYH1170,AQ1170,,,,,JYH,AQ,B738,1647955710,en-route
76CC62,9V-SCB,SG,29.01,118.84,11910,47,1022,0.0,836,SIA836,SQ836,WSSS,SIN,ZSPD,PVG,SIA,SQ,B78X,1647955710,en-route
780B97,B-1903,CN,29.58,118.87,8450,248,668,11.4,6032,CGN6032,9H6032,ZSNB,NGB,ZUGY,KWE,CGN,9H,B738,1647955710,en-route
71C364,HL8364,KR,20.1,118.92,10668,225,842,0.0,739,AAR739,OZ739,RKSI,ICN,VDPP,PNH,AAR,OZ,A21N,1647955710,en-route
06A139,A7-BAW,QA,17.82,119.06,11277,151,922,0.0,928,QTR928,QR928,OTHH,DOH,RPLL,MNL,QTR,QR,B77W,1647955710,en-route
8991A8,B-18360,TW,21.54,119.06,12496,66,885,0.0,836,CAL836,CI836,VTBS,BKK,RCTP,TPE,CAL,CI,A333,1647955710,en-route
78084F,B-6880,CN,29.17,119.11,5768,35,853,-4.6,5218,CES5218,MU5218,ZGGG,CAN,ZSHC,HGH,CES,MU,A320,1647955710,en-route
71C345,HL8345,KR,23.37,119.25,11574,237,838,0.0,607,KAL607,KE607,RKSI,ICN,VHHH,HKG,KAL,KE,B789,1647955710,en-route
780B02,B-6445,CN,30.85,119.57,4404,148,731,-10.7,8776,CSC8776,3U8776,ZUCK,CKG,ZSHC,HGH,CSC,3U,A319,1647955710,en-route
7810E9,B-8955,CN,29.69,119.74,7193,231,668,0.0,1818,DKH1818,HO1818,ZSHC,HGH,ZJSY,SYX,DKH,HO,A321,1647955710,en-route
7802E1,B-5189,CN,27.15,119.96,6461,197,692,8.5,3810,CSN3810,CZ3810,ZSWZ,WNZ,ZGGG,CAN,CSN,CZ,B738,1647955710,en-route
780C4E,B-1835,CN,29.97,120.22,6195,241,566,14.6,6376,CES6376,MU6376,ZSHC,HGH,ZUUU,CTU,CES,MU,A320,1647955710,en-route
507C39,UK67002,UZ,32.2,120.33,9182,275,729,0.0,8148,UZB8148,HY8148,ZSPD,PVG,,,UZB,HY,B763,1647955710,en-route
71BF95,HL7795,KR,19.45,120.63,11582,184,846,0.0,703,AAR703,OZ703,RKSI,ICN,RPLL,MNL,AAR,OZ,A333,1647955710,en-route
7804EA,B-6386,CN,32.16,120.75,8412,283,740,0.0,4536,CCA4536,CA4536,ZSPD,PVG,ZUUU,CTU,CCA,CA,A321,1647955710,en-route
7809AC,B-6971,CN,31.34,121.16,2034,109,498,0.30000000000000004,6398,CQH6398,9C6398,ZBSJ,SJW,ZSSS,SHA,CQH,9C,A320,1647955710,en-route
8991B1,B-18302,TW,25.07,121.22,0,317,0,0.0,7849,CAL7849,CI7849,RCTP,TPE,,,CAL,CI,A333,1647955710,landed
A874BF,N644GT,UK,25.07,121.22,0,227,11,0.0,224,PAC224,PO224,RCTP,TPE,RJGG,NGO,DHK,PO,B763,1647955710,en-route
8990F4,B-18907,TW,25.06,121.22,0,230,24,0.0,24,CAL24,CI24,RCTP,TPE,KONT,ONT,CAL,CI,A359,1647955710,en-route
8991B9,B-18311,TW,25.08,121.23,0,47,109,0.0,794,CAL794,CI794,VVNB,HAN,RCTP,TPE,CAL,CI,A333,1647955710,en-route
7801E2,B-LDG,UK,25.09,121.24,0,137,0,0.0,681,AHK681,LD681,RCTP,TPE,VHHH,HKG,DHK,LD,A306,1647955710,landed
A07BB3,N130FE,US,23.31,121.69,10370,196,846,0.30000000000000004,5196,FDX5196,FX5196,RCTP,TPE,RPLC,CRK,FDX,FX,B763,1647955710,en-route
8991BE,B-18317,TW,25.53,121.75,4998,254,653,-5.9,117,CAL117,CI117,RJFF,FUK,RCTP,TPE,CAL,CI,A333,1647955710,en-route
A7EF40,N610FE,US,31.15,121.78,0,253,0,0.0,5282,FDX5282,FX5282,ZSPD,PVG,,,FDX,FX,MD11,1647955710,landed
78007E,B-2475,CN,31.15,121.78,0,163,9,0.0,,,,ZSPD,PVG,,,CAO,CA*,B744,1647955710,en-route
7810BC,B-8689,CN,30.83,121.89,1341,46,340,-5.2,636,CCA636,CA636,YSSY,SYD,ZSPD,PVG,CCA,CA,A333,1647955710,en-route
A806D8,N616UP,US,31.18,122.6,4876,219,714,-12.4,84,UPS84,5X84,RKSI,ICN,ZSPD,PVG,UPS,5X,B748,1647955710,en-route
A75DC7,N574FE,US,25.69,122.6,6713,52,985,7.5,14,FDX14,FX14,RCTP,TPE,PANC,ANC,FDX,FX,MD11,1647955710,en-route
89901F,B-18006,TW,31.0,122.76,5707,90,872,1.6,504,CAL504,CI504,ZSPD,PVG,RCTP,TPE,CAL,CI,B77W,1647955710,en-route
A846FA,N632UP,US,25.76,122.81,9448,49,1011,0.0,59,UPS59,5X59,VHHH,HKG,PANC,ANC,UPS,5X,B748,1647955710,en-route
8991BF,B-18352,TW,26.97,122.92,11582,215,731,0.0,163,CAL163,CI163,RKSI,ICN,RCTP,TPE,CAL,CI,A333,1647955710,en-route
ABD6C6,N862FD,US,31.4,122.96,5875,257,650,-4.9,15,FDX15,FX15,RJAA,NRT,ZSPD,PVG,FDX,FX,B77L,1647955710,en-route
86E888,JA879A,JP,23.42,123.16,12184,235,840,-0.30000000000000004,805,ANA805,NH805,RJAA,NRT,VTBS,BKK,ANA,NH,B789,1647955710,en-route
3C458D,D-AALM,UK,31.51,123.54,9387,255,720,-9.1,578,BOX578,3S578,RKSI,ICN,ZSPD,PVG,DHK,3S,B77L,1647955710,en-route
86D9F4,JA837A,JP,23.89,123.9,12184,235,811,0.0,833,ANA833,NH833,RJAA,NRT,VVTS,SGN,ANA,NH,B789,1647955710,en-route
A97639,N709CK,US,31.26,123.95,9448,72,1107,0.0,831,CKS831,K4831,ZGSZ,SZX,PANC,ANC,CKS,K4,B744,1647955710,en-route
ABBA93,N855GT,UK,31.85,124.66,7620,94,1007,0.0,998,PAC998,PO998,ZSPD,PVG,PANC,ANC,DHK,PO,B748,1647955710,en-route
76CEF1,9V-SWQ,SG,19.6,124.95,10363,231,924,0.0,11,SIA11,SQ11,RJAA,NRT,WSSS,SIN,SIA,SQ,B77W,1647955710,en-route
